name,price,tag,image_link
10 Red Roses Bouquet,520,bouquets,"https://imgcdn.floweraura.com/IMG_6353.jpg?tr=w-315,dpr-1.5"
Joyful Breath of Blooming Petals,540,bouquets,"https://imgcdn.floweraura.com/joyful-breath-of-blooming-petals-9745400fl-A.jpg?tr=w-315,dpr-1.5"
Bellina Purple Orchid Bouquet,560,bouquets,"https://imgcdn.floweraura.com/SCK_3513.jpg?tr=w-315,dpr-1.5"
Blue 6 Orchid Bouquet,580,bouquets,"https://imgcdn.floweraura.com/DSC_3937_0.jpg?tr=w-315,dpr-1.5"
Whispers of Rosy Hued Mornings,600,bouquets,"https://imgcdn.floweraura.com/whispers-of-rosy-hued-mornings-9741050fl-A_2.jpg?tr=w-315,dpr-1.5"
Love Wrapped in Scarlet Roses,620,bouquets,"https://imgcdn.floweraura.com/love-wrapped-in-scarlet-roses-9725750fl-A_0.jpg?tr=w-315,dpr-1.5"
Pristinely Luxe Fantasy,640,bouquets,"https://imgcdn.floweraura.com/exquisite-roses-in-green-bouquet-9825490fl-A_1.jpg?tr=w-315,dpr-1.5"
Enchanted Lily Embrace,660,bouquets,"https://imgcdn.floweraura.com/enchanted-lily-embrace-9725820fl-A_0.jpg?tr=w-315,dpr-1.5"
Princess Rose Bouquet,680,bouquets,"https://imgcdn.floweraura.com/DSC_0424_1.jpg?tr=w-315,dpr-1.5"
Radiating Sunshine,700,bouquets,"https://imgcdn.floweraura.com/radiating-sunshine-9781600fl-A.jpg?tr=w-315,dpr-1.5"
